z_dim,k_fold,train_loss,valid_loss,train_MSE,valid_MSE,train_CE,valid_CE
1,0,0.053053878247737885,0.3211474120616913,0.03194566071033478,0.034637778997421265,1.750998616218567,1.9229787588119507
1,1,0.05463098734617233,0.4309357702732086,0.03182284161448479,0.03445560485124588,1.740602970123291,1.9551880359649658
1,2,0.053569406270980835,0.28295233845710754,0.031308867037296295,0.034722406417131424,1.7080750465393066,1.9734588861465454
1,3,0.05848804488778114,0.4368603527545929,0.03181295469403267,0.03487316146492958,1.7303307056427002,1.9618556499481201
1,4,0.04593995213508606,0.4809271991252899,0.03168425336480141,0.037054430693387985,1.7199982404708862,2.154318332672119
2,0,0.04158979281783104,0.41539180278778076,0.024053137749433517,0.03137621283531189,1.3918174505233765,1.764802098274231
2,1,0.05307912454009056,0.3162660002708435,0.02389390394091606,0.031875863671302795,1.3796498775482178,1.8250025510787964
2,2,0.0473778061568737,0.3027064800262451,0.02365792915225029,0.03169909492135048,1.3664860725402832,1.8280620574951172
2,3,0.04897001013159752,0.33743414282798767,0.024456892162561417,0.03238771855831146,1.394242525100708,1.8384169340133667
2,4,0.044632717967033386,0.3532687723636627,0.024472452700138092,0.035509709268808365,1.3848204612731934,2.074111223220825
3,0,0.036636993288993835,0.251065731048584,0.02060646377503872,0.029866887256503105,1.2459853887557983,1.7257874011993408
3,1,0.04208725318312645,0.23961254954338074,0.02096545323729515,0.02924952656030655,1.2526729106903076,1.7204720973968506
3,2,0.037274643778800964,0.22985553741455078,0.020628266036510468,0.03044995479285717,1.2307908535003662,1.7878128290176392
3,3,0.037760570645332336,0.2687847912311554,0.020735546946525574,0.029732568189501762,1.2431132793426514,1.7593212127685547
3,4,0.03539077192544937,0.2845551669597626,0.021454110741615295,0.0344635471701622,1.2796412706375122,2.0630061626434326
4,0,0.03094490058720112,0.23158767819404602,0.01849270984530449,0.028949828818440437,1.165092945098877,1.7211105823516846
4,1,0.030987465754151344,0.16113190352916718,0.018624326214194298,0.02843604050576687,1.1739555597305298,1.7459603548049927
4,2,0.030642516911029816,0.15207719802856445,0.01837008260190487,0.030021559447050095,1.142080545425415,1.7915492057800293
4,3,0.02972462959587574,0.20675495266914368,0.018381988629698753,0.02893250621855259,1.1688621044158936,1.7424545288085938
4,4,0.032052554190158844,0.23129551112651825,0.01876365765929222,0.03399563580751419,1.1887338161468506,2.035588026046753
5,0,0.028360333293676376,0.16552412509918213,0.016483934596180916,0.028167061507701874,1.110060214996338,1.7454887628555298
5,1,0.031833067536354065,0.1277027726173401,0.01656181551516056,0.027880560606718063,1.1104296445846558,1.7503819465637207
5,2,0.03056858293712139,0.11816710978746414,0.016512444242835045,0.02946992591023445,1.096490502357483,1.8517141342163086
5,3,0.027255162596702576,0.21301108598709106,0.016311651095747948,0.028663521632552147,1.1008065938949585,1.8204045295715332
5,4,0.028411787003278732,0.14168813824653625,0.017013108357787132,0.034007295966148376,1.1286247968673706,2.0863091945648193
